# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_11
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_11
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.3215   322.226
2.85764   303.529
5.22726   277.91
7.14899   259.598
8.86184   244.893
10.4538   232.444
11.9693   221.573
13.4346   211.884
14.8673   203.121
16.2794   195.108
17.6801   187.717
19.0764   180.854
20.4739   174.445
21.8774   168.432
23.291   162.769
24.7181   157.415
26.1619   152.342
27.6251   147.52
29.1104   142.929
30.6204   138.547
32.1571   134.36
33.7229   130.35
35.32   126.505
36.9504   122.815
38.616   119.269
40.3189   115.857
42.0613   112.572
43.8449   109.407
45.6719   106.354
45.4875   103.407
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.32653   433.315
3.7689   404.284
6.75632   372.932
9.25068   349.713
11.5018   330.77
13.609   314.575
15.6247   300.336
17.5805   287.577
19.4975   275.989
21.3911   265.354
23.2724   255.515
25.1503   246.354
27.0324   237.779
28.9244   229.716
30.8317   222.106
32.7588   214.9
34.7098   208.058
36.6885   201.547
38.6982   195.336
40.7424   189.401
42.8239   183.721
44.9458   178.274
47.1111   173.048
49.3225   168.024
51.5827   163.191
53.8946   158.537
56.2608   154.05
58.684   149.723
61.167   145.545
63.7126   141.51
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.940587   516.428
4.06373   479.587
7.5378   443.532
10.464   416.565
13.1167   394.443
15.6073   375.463
17.9949   358.727
20.3155   343.696
22.5934   330.019
24.846   317.446
27.0864   305.796
29.325   294.935
31.5703   284.755
33.8293   275.173
36.1081   266.12
38.4123   257.539
40.7465   249.385
43.1152   241.617
45.5227   234.202
47.9725   227.11
50.4689   220.317
53.0149   213.8
55.6144   207.54
58.2705   201.52
60.9867   195.726
63.7663   190.141
66.6127   184.756
69.5292   179.558
72.519   174.538
75.563   169.686
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.776853   1194.98
11.4756   1061.34
19.5652   975.038
26.252   911.737
32.2455   860.47
37.8282   816.897
43.1473   778.773
48.2918   744.759
53.3211   713.983
58.2771   685.836
63.1913   659.88
68.0881   635.782
72.9874   613.288
77.9056   592.192
82.8567   572.33
87.8531   553.569
92.9054   535.795
98.0238   518.915
103.218   502.848
108.494   487.525
113.862   472.886
119.33   458.879
124.904   445.456
130.592   432.581
136.401   420.213
142.337   408.322
148.408   396.878
154.622   385.856
160.983   375.23
165.427   364.982
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.493126   1350.77
12.2716   1205.42
21.3564   1108.9
28.9008   1037.67
35.6783   979.808
41.9996   930.524
48.0281   887.333
53.8628   848.749
59.5699   813.799
65.196   781.808
70.7767   752.281
76.3393   724.849
81.9062   699.224
87.4959   675.177
93.1241   652.527
98.805   631.119
104.551   610.828
110.372   591.549
116.279   573.191
122.282   555.676
128.392   538.936
134.615   522.913
140.959   507.556
147.434   492.817
154.048   478.657
160.808   465.039
167.722   451.93
174.799   439.299
182.046   427.122
189.423   415.373
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.562297   1592.09
13.6469   1434.81
24.2108   1323.95
33.0869   1240.98
41.1057   1173.07
48.6103   1114.96
55.7841   1063.86
62.7394   1018.08
69.5516   976.526
76.2747   938.417
82.9497   903.188
89.6082   870.41
96.2765   839.754
102.976   810.952
109.726   783.794
116.543   758.102
123.44   733.728
130.431   710.55
137.531   688.461
144.747   667.373
152.094   647.204
159.579   627.886
167.215   609.36
175.012   591.571
182.977   574.47
191.122   558.016
199.457   542.168
207.989   526.895
216.729   512.163
224.75   497.943
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.422058   2547.23
22.3804   2282.39
39.3775   2102.8
53.6071   1968.81
66.4253   1859.5
78.3963   1766.19
